# Түгээмэл зөв бичгийн алдаа. Буруу хэлбэр → зөв хэлбэр.
# Сургуулийн дүрэм / албан бичигт тогтсон хэлбэр. Эргэлзээтэйг оруулаагүй.

байхгуй	байхгүй
болохгуй	болохгүй
ажиллахгуй	ажиллахгүй
ойлгохгуй	ойлгохгүй
явахгуй	явахгүй
ирэхгуй	ирэхгүй
өгөхгуй	өгөхгүй
авахгуй	авахгүй
хийхгуй	хийхгүй
гуйцэтгэх	гүйцэтгэх
гуйцэтгэсэн	гүйцэтгэсэн
гуйцэтгэл	гүйцэтгэл
гуйцэтгэлийн	гүйцэтгэлийн
ягаад	яагаад
яагад	яагаад
жинхнэ	жинхэнэ
хэдийгэр	хэдийгээр
гэхмэт	гэх мэт
гэхмэтийг	гэх мэтийг
ямарч	ямар ч
хэдийч	хэдий ч
гэсэнч	гэсэн ч
тиймуу	тийм үү
иймуу	ийм үү
утгагуй	утгагүй
шаардлагагуй	шаардлагагүй
шаардлатай	шаардлагатай
шаардагтай	шаардлагатай
шаардлагтай	шаардлагатай
ажилтангууд	ажилтнууд
ажилтнгууд	ажилтнууд
ажилтанүүд	ажилтнууд
орчиноо	орчноо
уены	үеийн
үены	үеийн
холбоогуй	холбоогүй
оролцоогуй	оролцоогүй
хамаагуй	хамаагүй
ялгаагуй	ялгаагүй
өөрчлөлтгуй	өөрчлөлтгүй
дараахань	дараа нь
учрааснь	учраас нь
гэсэннь	гэсэн нь
байнашүү	байна шүү
болношүү	болно шүү
байнадаа	байна даа
болнодаа	болно даа
учираас	учраас
ажилаа	ажлаа
одогоор	одоогоор
маргаш	маргааш
үүлдвэр	үйлдвэр
үүлэг	үүрэг
херегтэй	хэрэгтэй
херег	хэрэг
хел	хэл
хелэх	хэлэх
тиймэс	тиймээс
иймэс	иймээс
яагаадгэвэл	яагаад гэвэл
зовхон	зөвхөн
хэзээч	хэзээ ч
хэндч	хэнд ч
юуч	юу ч
гэжл	гэж л
сайнл	сайн л
гехдээ	гэхдээ
хамгын	хамгийн
хэрэгжуулэх	хэрэгжүүлэх
гуйцэтгэж	гүйцэтгэж
оргодлийг	өргөдлийг
хусэлтийг	хүсэлтийг
судлага	судалгаа
